Recall	Trained model (area: 0.59)	Random classifier (area: 0.13)
5.879396984924623037e-01	4.165419295056844717e-01	1.514500562028276986e-01
5.929648241206030290e-01	4.185810002392916784e-01	1.307728420064293018e-01
5.979899497487437543e-01	4.206149796602057789e-01	1.317319736512474471e-01
6.030150753768844796e-01	4.226489590811198793e-01	1.326911052960655923e-01
6.080402010050250938e-01	4.246829385020339243e-01	1.336502369408837099e-01
6.130653266331658191e-01	4.267169179229480247e-01	1.346093685857018551e-01
6.180904522613065444e-01	4.287437185929647843e-01	1.289144360136760536e-01
6.231155778894472697e-01	4.306963388370423362e-01	1.298220114488347898e-01
6.281407035175879949e-01	4.326489590811198882e-01	1.307295868839935260e-01
6.331658291457286092e-01	4.346015793251973847e-01	1.316371623191522344e-01
6.381909547738693345e-01	4.365541995692749366e-01	1.325447377543109706e-01
6.432160804020100597e-01	4.385068198133524886e-01	1.334523131894697345e-01
6.482412060301507850e-01	4.318121527698826068e-01	1.288586274224378936e-01
6.532663316582915103e-01	4.336804687085503152e-01	1.297241682368048543e-01
6.582914572864321245e-01	4.355487846472179680e-01	1.305897090511717873e-01
6.633165829145728498e-01	4.374171005858856764e-01	1.314552498655387480e-01
6.683417085427135751e-01	4.392854165245533848e-01	1.323207906799057088e-01
6.733668341708543004e-01	4.411537324632210932e-01	1.331863314942726695e-01
6.783919597989950256e-01	4.429950915681454826e-01	1.280925807675578620e-01
6.834170854271356399e-01	4.447929050185615574e-01	1.289159116639057578e-01
6.884422110552763652e-01	4.465907184689776876e-01	1.297392425602536814e-01
6.934673366834170904e-01	4.483885319193937624e-01	1.305625734566016050e-01
6.984924623115578157e-01	4.501863453698098372e-01	1.313859043529495008e-01
7.035175879396985410e-01	4.519841588202259675e-01	1.322092352492974243e-01
7.085427135678391553e-01	4.537467210265161977e-01	1.273997388781837048e-01
7.135678391959798805e-01	4.554779487935835536e-01	1.281847835669575886e-01
7.185929648241206058e-01	4.572091765606509095e-01	1.289698282557314446e-01
7.236180904522613311e-01	4.589404043277182654e-01	1.297548729445053006e-01
7.286432160804020564e-01	4.606716320947856214e-01	1.305399176332791567e-01
